Symbol,Description,Analyst Rating,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Exchange,Sector,Industry
BAC/PE,Bank of America Corporation Depositary Sh repstg 1/1000th Perp Pfd Ser E,,24.1851,USD,0.3114890087100749,6861,0.307468238141119,360625331543,USD,8.791704533061907,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BAC/PS,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.750% Non-Cumulative Preferred Stock, Series SS",,21.17,USD,0.3555344868452375,31495,0.4849032579894721,360625331543,USD,7.695663237485914,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BML/PH,Bank of America Corporation Depositary Shares (Each representing a 1/1200th interest in a Share of Floating Rate Non-Cumulative Pref,,22.75,USD,-0.39404553415061233,28256,1.2309783437381558,360625331543,USD,8.270020720491475,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BAC/PK,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.875% Non- Cumulative Preferred Stock, Series HH",,25.0399,USD,-0.08020750199520886,38421,0.6952039054894709,360625331543,USD,9.102439201715802,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BAC/PP,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.125% Non-Cumulative Preferred Stock, Series PP",,18.46,USD,0.16277807921867138,67531,0.7831033998916914,360625331543,USD,6.710531098913083,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BAC/PB,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 6.000% Non-Cumulative Preferred Stock, Series GG",,25.17,USD,0.35885167464116197,48146,0.8020617114070481,360625331543,USD,9.149732814715184,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BAC/PL,Bank of America Corporation Non Cumulative Perpetual Conv Pfd Ser L,,1244.64,USD,0.20933303275257933,7573,1.4890772165090351,360625331543,USD,452.4482896506598,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BAC/PM,"Bank of America Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 5.375% Non-Cumulative Preferred Stock, Series KK",,23.75,USD,0.1687051876845177,134900,1.273321415019718,360625331543,USD,8.633538114798792,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
MER/PK,"Bank of America Corporation Income Capital Obligation Notes initially due December 15, 2066",,26.08,USD,-0.6097560975609762,30649,1.0001044188763224,360625331543,USD,9.480533643534843,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BACRP,Bank of America Corp.,,190,USD,0,21,2.210526315789474,360625331543,USD,69.06830491839034,2.7509,USD,-22.902945545248162,2.08511,OTC,Finance,Major banks
BAC,Bank of America Corporation,Buy,47,USD,1.162290142057682,37996162,1.034837302268984,360625331543,USD,17.085317532443927,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
BAC/PQ,"Bank of America Corporation Depositary shares, each representing 1/1,000th interest in a share of 4.250% Non-Cumulative Preferred Stock, Series QQ",,18.78,USD,0.10660980810234313,78967,0.705211098052804,360625331543,USD,6.826856665091425,2.7509,USD,-22.902945545248162,2.08511,NYSE,Finance,Major banks
CRM,"Salesforce, Inc.",Buy,342.02,USD,1.8583596402406366,5649350,0.7678456337985441,326971109497,USD,59.54698191061511,5.7437,USD,259.7006513026052,0.350857,NYSE,Technology services,Packaged software
ABBV,AbbVie Inc.,Buy,176.95,USD,3.039655272811972,11328616,1.235718764437001,312695485000,USD,61.71095766199344,2.8674,USD,-21.520650299696204,3.50381,NYSE,Health technology,Pharmaceuticals: major
LVMUY,LVMH-Moet Hennessy Louis Vuitton,Buy,121.3,USD,0.6471954862263535,403106,0.7610536632077094,304792615872.11346,USD,20.08111911265624,6.0405,USD,1.5995559592289754,1.77257,OTC,Consumer non-durables,Apparel/Footwear
LVMHF,LVMH-Moet Hennessy Louis Vuitton,Buy,607.69,USD,0.838648869300886,6677,0.6717709318469928,303340421462.2558,USD,20.31062418422675,29.919809184000002,USD,8.231997286658617,2.22985,OTC,Consumer non-durables,Apparel/Footwear
CVX,Chevron Corporation,Buy,162.36,USD,0.4516488275691507,7006293,0.9658610119886655,291775765779,USD,17.86983941798651,9.0857,USD,-32.44330433489479,3.94186,NYSE,Energy minerals,Integrated oil
IDCBF,Industrial and Commercial Bank of China Ltd.,Buy,0.6069,USD,1.9485973458760193,1500,0.047943235209511936,284909143281.31775,USD,4.257413982349262,0.142551324,USD,-1.286393578593762,7.33002,OTC,Finance,Major banks
TMUS,"T-Mobile US, Inc.",Buy,238.28,USD,0.7185729985628492,2540812,0.744788214602933,276520739023,USD,27.152249962965914,8.7757,USD,36.04892719831329,1.09115,NASDAQ,Communications,Wireless telecommunications
IDCBY,Industrial and Commercial Bank of China Ltd.,,11.7,USD,-2.010050251256283,31587,0.4016014728057305,276177844622.7427,USD,4.1233480176211454,2.8375,USD,-1.7860233290644174,5.99412,OTC,Finance,Major banks
SAP,SAP SE,Buy,236.25,USD,0.09320849044612925,750754,0.8967833273130018,276133126756.6284,USD,94.9634214969049,2.4878,USD,6.910184787279762,0.73253,NYSE,Technology services,Packaged software
KO,Coca-Cola Company (The),Buy,63.92,USD,0.2509410288582241,19562231,1.1670210452477565,275354368362,USD,26.547055403272697,2.4078,USD,-2.9308607135658216,2.99593,NYSE,Consumer non-durables,Beverages: non-alcoholic
SAPGF,SAP SE,Buy,235.2344,USD,-0.49390445089296753,2278,0.040081429700022694,274546190059.0179,USD,92.16272659071312,2.5523810840000003,USD,11.079508013166617,0.973882,OTC,Technology services,Packaged software
ASMLF,ASML Holding N.V.,Buy,676.25,USD,0.5202526941657376,1143,1.2589492234827624,266051512215.2254,USD,34.519568447320886,19.590337609,USD,-3.916345353262396,0.971811,OTC,Electronic technology,Semiconductors
ASML,ASML Holding N.V. - New York Registry Shares,Buy,672.88,USD,0.10711735301119187,1275586,0.5646626882506287,264575005596.92957,USD,35.267726110109436,19.0792,USD,-7.378028059614544,0.848063,NASDAQ,Electronic technology,Semiconductors
WFC/PA,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",,20.64,USD,0.4379562043795613,40837,0.6442650831263982,252908112245,USD,4.29132794145165,4.8097,USD,3.652859790526275,1.9089,NYSE,Finance,Major banks
WFC/PZ,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",,20.67,USD,0.4861448711716161,143053,0.7192756811983622,252908112245,USD,4.297565336715388,4.8097,USD,3.652859790526275,1.9089,NYSE,Finance,Major banks
WFC/PD,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",,19.24,USD,0.10405827263267209,60624,0.7191868576146685,252908112245,USD,4.000249495810549,4.8097,USD,3.652859790526275,1.9089,NYSE,Finance,Major banks
WFC/PL,Wells Fargo & Company 7.50% Non-Cumulative Perpetual Convertible,,1231.3,USD,0.18714401952806792,5258,0.9045554638040187,252908112245,USD,256.00349294134764,4.8097,USD,3.652859790526275,1.9089,NYSE,Finance,Major banks
WFC/PY,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",,24.78,USD,0,23888,0.41237398149426874,252908112245,USD,5.152088487847474,4.8097,USD,3.652859790526275,1.9089,NYSE,Finance,Major banks
WFC/PC,"Wells Fargo & Company Depositary Shares, each representing a 1/1,000th interest in a share of Non-Cumulative Perpetual",,19.48,USD,0.5159958720330311,66644,0.8035264301405605,252908112245,USD,4.050148657920452,4.8097,USD,3.652859790526275,1.9089,NYSE,Finance,Major banks
WFC,Wells Fargo & Company,Buy,75.96,USD,1.5100895362822337,14997402,0.8880048538937816,252908112244.99997,USD,15.793084807784266,4.8097,USD,3.652859790526275,1.9089,NYSE,Finance,Major banks
MRK,"Merck & Company, Inc.",Buy,99.18,USD,-0.6809533346685286,14031186,1.1630113772435882,250889273682,USD,20.772855796418476,4.7745,USD,165.2057990334944,3.10546,NYSE,Health technology,Pharmaceuticals: major
BX,Blackstone Inc.,Neutral,199.05,USD,2.597804236895016,4504255,1.5702774600582414,241424496731,USD,68.42792808278044,2.9089,USD,21.879582687392645,1.73323,NYSE,Finance,Investment managers
TOYOF,Toyota Motor Corp.,Buy,17.36,USD,-1.0967098703888278,208986,4.173426472878899,233831740624.99832,USD,7.876817257174461,2.2039358579999995,USD,15.42774050314126,3.19009,OTC,Consumer durables,Motor vehicles
CSCO,"Cisco Systems, Inc.",Buy,58.55,USD,1.7199444058373783,14952324,0.6705678530942883,233190495472,USD,25.20881770429691,2.3226,USD,-29.881656804733726,2.71563,NASDAQ,Electronic technology,Telecommunications equipment
TM,Toyota Motor Corporation,Buy,174.4,USD,0.5883031491521573,369057,1.128857020681504,232170275861.73666,USD,8.291574353171622,21.0334,USD,3.005935473760511,2.48094,NYSE,Consumer durables,Motor vehicles
RHHVF,Roche Holding Ltd,Neutral,287.038,USD,0.666344015880042,21105,2.5607891671520093,231588698156.7887,USD,19.509800172123395,14.71250333,USD,,3.77507,OTC,Health technology,Pharmaceuticals: major
RHHBY,Roche Holding Ltd,Neutral,35.44,USD,0.42504958911872653,597901,0.5630465068668206,231318336799.68567,USD,19.031253356245298,1.8622,USD,,2.39023,OTC,Health technology,Pharmaceuticals: major
ADBE,Adobe Inc.,Buy,512.15,USD,1.5284275632384385,2287614,0.767693754485751,225448446999,USD,43.25335495367673,11.8407,USD,6.55298087739032,0,NASDAQ,Technology services,Packaged software
AMD,"Advanced Micro Devices, Inc.",Buy,138.35,USD,0.6255000363662704,21784728,0.6763287732806036,224515409965.99997,USD,123.79205440229063,1.1176,USD,781.3880126182964,0,NASDAQ,Electronic technology,Semiconductors
ACN,Accenture plc,Buy,358.66,USD,-0.6619581775377333,2211127,0.8120035806897177,224110730383,USD,31.366204327217396,11.4346,USD,6.159016636957807,1.49166,NYSE,Technology services,Information technology services
ACGBY,Agricultural Bank of China,,12.4,USD,0.0807102502017739,31822,2.694268055202777,222397760482.88577,USD,4.803222807561203,2.5816,USD,-5.227606461086648,5.44571,OTC,Finance,Major banks
PEP,"PepsiCo, Inc.",Neutral,162,USD,1.035299987526504,5846256,0.9954567714582246,222262220214.99997,USD,23.87795710811408,6.7845,USD,13.241086927493662,3.23457,NASDAQ,Consumer non-durables,Food: specialty/candy
ACGBF,Agricultural Bank of China,Buy,0.4978,USD,-2.315541601255893,1000,0.011821295117450477,222136266204.0678,USD,4.798086764348504,0.103749687,USD,-4.757626568683344,6.52861,OTC,Finance,Major banks
HESAY,Hermes International SA,Buy,210.83,USD,1.0157634995927385,216521,2.4940534401352763,221386886294.71594,USD,45.95048167037183,4.5882,USD,47.38837134596851,0.915462,OTC,Consumer non-durables,Apparel/Footwear
HESAF,Hermes International SA,Buy,2111.5,USD,0.8602859340145032,147,1.2985865724381624,220955042926.89655,USD,46.45383646413112,45.453726984,USD,56.33561462119818,1.23762,OTC,Consumer non-durables,Apparel/Footwear
NSRGY,Nestle S.A.,Buy,85.08,USD,-0.7002801120448279,1504718,1.1122385878826504,220279740098.82318,USD,17.6833703988527,4.8113,USD,-23.77293323616084,2.58011,OTC,Consumer non-durables,Food: major diversified
RHHBF,Roche Holding Ltd,Neutral,288.2325,USD,0.8828882433236627,45,0.17584994138335286,219354923640.20758,USD,19.590989618487992,14.71250333,USD,,3.56083,OTC,Health technology,Pharmaceuticals: major
NSRGF,Nestle S.A.,Buy,85.19,USD,-0.8034466697717719,34931,0.32742982910020774,219009950280.2713,USD,17.936125551346105,4.7496322300000005,USD,-22.46038088408577,3.94737,OTC,Consumer non-durables,Food: major diversified
NOW,"ServiceNow, Inc.",Buy,1060.6,USD,1.2941120290339483,1437259,1.0647464778392253,218483594971.00003,USD,164.99175507918233,6.4282,USD,-16.845182655490014,0,NYSE,Technology services,Packaged software
MS/PI,Morgan Stanley Depository Shares Representing 1/1000th Preferred Series 1 Fixed to Floating Non (Cum),,25.39,USD,-0.43137254901960564,29292,0.437060954575025,216990394895,USD,3.859131809338521,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
MS/PE,Morgan Stanley DEPOSITARY SHARES REP 1/1000TH SHARES FIXED/FLTG PREFERRED STOCK SERIES E,,25.34,USD,0,37401,0.6649161232515307,216990394895,USD,3.851532101167315,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
MS/PQ,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.625% Non-Cumulative Preferred Stock, Series Q",,26.49,USD,0.11337868480724711,27505,0.3132823516279748,216990394895,USD,4.026325389105058,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
MS/PA,Morgan Stanley Dep Shs repstg 1/1000 Pfd Ser A,,23.63,USD,0.5531914893616979,44894,1.0666673002582678,216990394895,USD,3.591622081712062,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
MS/PF,Morgan Stanley Dep Shs Rpstg 1/1000th Int Prd Ser F Fxd to Flag,,25.32,USD,-0.039478878799834236,28690,0.31703864467913234,216990394895,USD,3.8484922178988326,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
MS/PP,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 6.500% Non-Cumulative Preferred Stock, Series P",,26.23,USD,-0.3797949107481879,36487,0.7978893228426351,216990394895,USD,3.986806906614786,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
MS/PL,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.875% Non-Cumulative Preferred Stock, Series L",,22.83,USD,0.4841549295774623,30992,1.242956433157804,216990394895,USD,3.4700267509727625,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
MS/PK,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of Fixed-to-Floating Rate Non-Cumulative Preferred Stock, Series K",,25.16,USD,-0.03972983710767407,39917,0.649827193535101,216990394895,USD,3.8241731517509727,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
MS,Morgan Stanley,Neutral,134.69,USD,-0.22223868434699706,6334100,0.9799442279132969,216990394895,USD,20.47209387159533,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
MS/PO,"Morgan Stanley Depositary Shares, each representing 1/1,000th of a share of 4.250% Non-Cumulative Preferred Stock, Series O",,19.18,USD,0.1043841336116888,53495,0.7074729349778216,216990394895,USD,2.915248054474708,6.5792,USD,17.870899546733085,2.63568,NYSE,Finance,Investment managers
LIN,Linde plc,Buy,454.78,USD,-0.06372645966555045,1864846,0.9978995823565774,216547088248,USD,34.516310205072934,13.1758,USD,8.858521431640177,1.19728,NASDAQ,Process industries,Chemicals: specialty
AXP,American Express Company,Neutral,301.3,USD,2.832764505119458,3788898,1.6147883304557022,212249235328,USD,22.162559764619346,13.595,USD,27.471847427590923,0.896117,NYSE,Finance,Finance/Rental/Leasing
DIS,Walt Disney Company (The),Buy,115.65,USD,0.8106694560669515,10098038,0.5952096881712422,209435122282,USD,42.57473126196437,2.7164,USD,111.11370171757211,0.648508,NYSE,Consumer services,Movies/Entertainment
NVS,Novartis AG,Neutral,104.28,USD,0.41405873856524494,1337234,1.0212977789400168,209196731923.88348,USD,12.162776864131004,8.5737,USD,130.62459651387994,3.06735,NYSE,Health technology,Pharmaceuticals: major
MCD,McDonald's Corporation,Buy,290.28,USD,0.6274482615176432,2879063,0.9885512204426133,208020362721,USD,25.48215774919896,11.3915,USD,0.36387024017199215,2.30123,NYSE,Consumer services,Restaurants
AZNCF,AstraZeneca Plc,Buy,133.93,USD,6.243058860859912,4976,2.3838267701446774,207632188119.41006,USD,30.534753382745908,4.38614972,USD,17.037329060020962,2.23028,OTC,Health technology,Pharmaceuticals: major
BABAF,Alibaba Group Holding Limited,Strong buy,10.85,USD,0.984717335864935,3343,0.03859466024461372,207430313347.24783,USD,17.747303057670905,0.611360496,USD,-32.24811005671198,1.20963,OTC,Retail trade,Internet retail
IBM,International Business Machines Corporation,Neutral,222.97,USD,0.25629496402877394,5320740,1.3746724949496854,206168128352,USD,32.45229743694238,6.8707,USD,-8.83312987633353,2.98695,NYSE,Technology services,Packaged software
NVSEF,Novartis AG,Neutral,104,USD,5.852417302798982,114277,0.9414929332624806,205994496765.32877,USD,11.619787951320939,8.950249388,USD,140.88511255432167,3.52263,OTC,Health technology,Pharmaceuticals: major
AZN,AstraZeneca PLC,Buy,65.63,USD,2.1319638966697636,7163048,0.8491012762405712,204369983049.60022,USD,31.539237829785183,2.0809,USD,10.042305658381819,2.21697,NASDAQ,Health technology,Pharmaceuticals: major
ABT,Abbott Laboratories,Buy,117.76,USD,0.4264028654272557,5349775,1.011803572788955,204249448080,USD,35.81181765653986,3.2883,USD,11.748113912866168,1.86821,NYSE,Health technology,Medical specialties
PM,Philip Morris International Inc,Buy,129.99,USD,-0.9298071793308428,4108284,0.756231339767617,202112798830.00003,USD,20.61991402420647,6.3041,USD,22.512000310939236,4.03877,NYSE,Consumer non-durables,Tobacco
CICHF,China Construction Bank Corp.,Strong buy,0.7933,USD,7.121637679593822,50000,0.44132807976387184,201644455230.87747,USD,,,,,7.46836,OTC,Finance,Regional banks
SHEL,Shell PLC,Buy,66.03,USD,-0.36215482118604936,3597854,0.8111156480522426,201055515540.7036,USD,13.588656568982548,4.8592,USD,-42.29869497583508,4.12843,NYSE,Energy minerals,Integrated oil
RYDAF,SHELL PLC,Buy,32.675,USD,1.4751552795030878,1108,0.3273457811392106,200525538968.57663,USD,12.818227653888599,2.54910436,USD,-39.652814626168734,4.08375,OTC,Energy minerals,Integrated oil
